Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Weegman, Mitch D; Fox, Anthony D; Bearhop, Stuart; Hilton, Geoff M; Walsh, Alyn J; Cleasby, Ian R; Hodgson, David J; ",No evidence for sex bias in winter inter‐site movements in an Arctic‐nesting goose population,Ibis,157,2,401-405,2015,Wiley Online Library
"Weegman, Mitchell Dale; ",The Demography of the Greenland White-fronted Goose,,,,,2014,University of Exeter
"Ellis, Charlie D; Knott, Hannah; Daniels, Carly L; Witt, Matthew J; Hodgson, David J; ",Geographic and environmental drivers of fecundity in the European lobster (Homarus gammarus),ICES Journal of Marine Science: Journal du Conseil,,,fsv044,2015,Oxford University Press
"Hodgson, David J; Hosken, David J; ",Ultimate and proximate functions of sperm RNA: a reply to Holman and Price,Trends in ecology & evolution,29,12,650,2014,Elsevier
"Smith, Justin MJ; Benton, Tim G; Morecroft, Aristides Moustakas; Murphy, Eugene; Newbold, Tim; Norris, KJ; Petchey, Owen; Ernande, Matthew Bruno; Grimm, Volker; Hodgson, David J; ",Predictive Systems Ecology,,,,,2013,
"Rainey, Paul B; Brockhurst, Michael; Buckling, Angus; Hodgson, David J; Kassen, Rees; ",Biological Diversity and Function in Soils: The use of model Pseudomonas fluorescens populations to study the causes and consequences of microbial diversity,,,,,2005,
"Salguero‐Gómez, Roberto; Jones, Owen R; Archer, C Ruth; Buckley, Yvonne M; Che‐Castaldo, Judy; Caswell, Hal; Hodgson, David; Scheuerlein, Alexander; Conde, Dalia A; Brinks, Erik; ",The compadre Plant Matrix Database: an open online repository for plant demography,Journal of Ecology,103,1,202-218,2015,Wiley Online Library
"Benton, Clare H; Delahay, Richard J; Trewby, Hannah; Hodgson, David J; ",What has molecular epidemiology ever done for wildlife disease research? Past contributions and future directions,European Journal of Wildlife Research,61,1,1-16,2015,Springer Berlin Heidelberg
"Guiver, Chris; Mueller, Markus; Hodgson, Dave; Townley, Stuart; ",Robust set-point regulation for ecological models with multiple management goals,,,,,,
"Jelbert, Kim; Stott, Iain; McDonald, Robbie A; Hodgson, Dave; ",Invasiveness of plants is predicted by size and fecundity in the native range,Ecology and Evolution,5,10,1933-1943,2015,
"Matsikis, Iakovos; Hodgson, Dave; Townley, Stuart; ",First and second moments of size and stage-structure for populations with stochastic vital rates,Submitted to Theoretical Population Biology,,,,2010,
"McDonald, Jennifer L; Maclean, Mairead; Evans, Matthew R; Hodgson, Dave J; ",Reconciling actual and perceived rates of predation by domestic cats,Ecology and Evolution,,,,2015,Wiley Online Library
"Guiver, Chris; Dreiwi, Hanan; Filannino, Donna-Maria; Hodgson, Dave; Lloyd, Stephanie; Townley, Stuart; ",The role of population inertia in predicting the outcome of stage-structured biological invasions,Mathematical biosciences,265,,1-11,2015,Elsevier
"Weegman, Mitch; Bearhop, Stuart; Fox, Anthony David; Hilton, Geoff; Walsh, Alyn; Hodgson, Dave; ",Integrated population modeling reveals a perceived source to be a sink,,,,,,
"Hodgson, Dave; McDonald, Jenni L; Hosken, David J; ","What do you mean,‘resilient’?",Trends in ecology & evolution,,,,2015,Elsevier Current Trends
"Goodhead, Rhys; Johnston, Blair; Cole, Paula; Baalousha, Mohammed; Hodgson, Dave; Iguchi, Taisen; Lead, Jamie; Tyler, Charles; ",Does Natural Organic Matter Increase Bioavailability of Cerium Dioxide Nanoparticles to Fish?,Environmental Chemistry,,,,2015,CSIRO
